127.0.0.1 - - [02/Oct/2019:19:43:43 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [02/Oct/2019:19:43:47 +0900] "GET /WebProj4/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [02/Oct/2019:19:43:56 +0900] "POST /WebProj4/WelcomeAction.action;jsessionid=0C05A718382C02A164D2DB13BAEE9E7E HTTP/1.1" 200 10935
0:0:0:0:0:0:0:1 - - [02/Oct/2019:19:47:47 +0900] "GET /WebProj4/ HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [02/Oct/2019:19:53:07 +0900] "GET /WebProj4/ HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [02/Oct/2019:19:53:08 +0900] "POST /WebProj4/WelcomeAction.action HTTP/1.1" 200 10935
0:0:0:0:0:0:0:1 - - [02/Oct/2019:20:04:57 +0900] "GET /WebProj4/ HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [02/Oct/2019:20:04:59 +0900] "POST /WebProj4/HelloStrutsAction.action HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [02/Oct/2019:20:06:14 +0900] "POST /WebProj4/HelloStrutsAction.action HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [02/Oct/2019:20:06:46 +0900] "POST /WebProj4/WelcomeAction.action HTTP/1.1" 200 10935
0:0:0:0:0:0:0:1 - - [02/Oct/2019:20:07:56 +0900] "POST /WebProj4/HelloStrutsAction.action HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [02/Oct/2019:20:11:45 +0900] "GET /WebProj4/ HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [02/Oct/2019:20:11:46 +0900] "POST /WebProj4/WelcomeAction.action HTTP/1.1" 200 10935
